GEO.display-label Geography,Zip, HC03_EST_VC02 Median income (dollars); Estimate; Households 
ZCTA5,01069," $59,211.00 "
ZCTA5,01070," $57,000.00 "
ZCTA5,01071," $67,132.00 "
ZCTA5,01072," $72,000.00 "
ZCTA5,01073," $89,423.00 "
ZCTA5,01074," $61,603.00 "
ZCTA5,01075," $66,681.00 "
ZCTA5,01077," $76,737.00 "
ZCTA5,01079," $27,105.00 "
ZCTA5,01080," $49,844.00 "
ZCTA5,01081," $50,465.00 "
ZCTA5,01082," $51,768.00 "
ZCTA5,01083," $65,547.00 "
ZCTA5,01084," $90,625.00 "
ZCTA5,01085," $62,423.00 "
ZCTA5,01086,
ZCTA5,01088," $51,406.00 "
ZCTA5,01089," $51,735.00 "
ZCTA5,01092," $75,799.00 "
ZCTA5,01093," $103,750.00 "
ZCTA5,01094," $21,250.00 "
ZCTA5,01095," $104,128.00 "
ZCTA5,01096," $77,083.00 "
ZCTA5,01097,
ZCTA5,01098," $76,563.00 "
ZCTA5,01103," $16,720.00 "
ZCTA5,01104," $30,053.00 "
ZCTA5,01105," $17,569.00 "
ZCTA5,01106," $111,231.00 "
ZCTA5,01107," $26,772.00 "
ZCTA5,01108," $38,499.00 "
ZCTA5,01109," $35,191.00 "
ZCTA5,01118," $61,112.00 "
ZCTA5,01119," $47,439.00 "
ZCTA5,01128," $65,977.00 "
ZCTA5,01129," $63,895.00 "
ZCTA5,01151," $40,360.00 "
ZCTA5,01199,
ZCTA5,01201," $47,614.00 "
ZCTA5,01220," $49,777.00 "
ZCTA5,01222," $74,583.00 "
ZCTA5,01223," $77,857.00 "
ZCTA5,01224," $38,446.00 "
ZCTA5,01225," $61,512.00 "
ZCTA5,01226," $61,063.00 "
ZCTA5,01229," $29,000.00 "
ZCTA5,01230," $65,214.00 "
ZCTA5,01235," $63,000.00 "
ZCTA5,01236," $57,014.00 "
ZCTA5,01237," $84,615.00 "
ZCTA5,01238," $67,708.00 "
ZCTA5,01240," $68,948.00 "
ZCTA5,01242," $81,172.00 "
ZCTA5,01243," $71,979.00 "
ZCTA5,01244," $55,556.00 "
ZCTA5,01245," $69,821.00 "
ZCTA5,01247," $40,928.00 "
ZCTA5,01253," $74,554.00 "
ZCTA5,01254," $92,083.00 "
ZCTA5,01255," $68,636.00 "
ZCTA5,01256," $55,375.00 "
ZCTA5,01257," $59,500.00 "
ZCTA5,01258," $57,917.00 "
ZCTA5,01259," $62,727.00 "
ZCTA5,01260," $112,756.00 "
ZCTA5,01262," $36,042.00 "
ZCTA5,01264," $80,000.00 "
ZCTA5,01266," $74,107.00 "
ZCTA5,01267," $78,068.00 "
ZCTA5,01270," $80,000.00 "
ZCTA5,01301," $48,477.00 "
ZCTA5,01330," $74,167.00 "
ZCTA5,01331," $53,733.00 "
ZCTA5,01337," $66,085.00 "
ZCTA5,01338," $57,750.00 "
ZCTA5,01339," $55,313.00 "
ZCTA5,01340," $53,125.00 "
ZCTA5,01341," $101,023.00 "
ZCTA5,01342," $106,146.00 "
ZCTA5,01343," $85,781.00 "
ZCTA5,01344," $70,109.00 "
ZCTA5,01346," $60,208.00 "
ZCTA5,01347," $52,647.00 "
ZCTA5,01349," $61,630.00 "
ZCTA5,01350," $31,458.00 "
ZCTA5,01351," $82,548.00 "
ZCTA5,01354," $69,226.00 "
ZCTA5,01355," $70,313.00 "
ZCTA5,01360," $69,028.00 "
ZCTA5,01364," $43,413.00 "
ZCTA5,01366," $65,529.00 "
ZCTA5,01367," $55,469.00 "
ZCTA5,01368," $72,813.00 "
ZCTA5,01370," $54,036.00 "
ZCTA5,01373," $74,022.00 "
ZCTA5,01375," $54,886.00 "
ZCTA5,01376," $43,750.00 "
ZCTA5,01378," $57,885.00 "
ZCTA5,01379," $43,500.00 "
ZCTA5,01420," $51,412.00 "
ZCTA5,01430," $85,064.00 "
ZCTA5,01431," $95,833.00 "
ZCTA5,01432," $79,750.00 "
ZCTA5,01434," $50,547.00 "
ZCTA5,01436," $60,156.00 "
ZCTA5,01438," $74,142.00 "
ZCTA5,01440," $48,915.00 "
ZCTA5,01450," $123,918.00 "
ZCTA5,01451," $143,625.00 "
ZCTA5,01452," $93,387.00 "
ZCTA5,01453," $57,610.00 "
ZCTA5,01460," $119,177.00 "
ZCTA5,01462," $97,775.00 "
ZCTA5,01463," $90,029.00 "
ZCTA5,01464," $67,541.00 "
ZCTA5,01467," $98,036.00 "
ZCTA5,01468," $64,872.00 "
ZCTA5,01469," $84,489.00 "
ZCTA5,01473," $100,071.00 "
ZCTA5,01474," $84,851.00 "
ZCTA5,01475," $64,539.00 "
ZCTA5,01501," $74,576.00 "
ZCTA5,01503," $97,417.00 "
ZCTA5,01504," $80,260.00 "
ZCTA5,01505," $97,074.00 "
ZCTA5,01506," $64,219.00 "
ZCTA5,01507," $93,921.00 "
ZCTA5,01510," $68,362.00 "
ZCTA5,01515," $80,234.00 "
ZCTA5,01516," $94,531.00 "
ZCTA5,01518," $58,438.00 "
ZCTA5,01519," $106,250.00 "
ZCTA5,01520," $99,674.00 "
ZCTA5,01521," $78,348.00 "
ZCTA5,01522," $104,508.00 "
ZCTA5,01523," $104,630.00 "
ZCTA5,01524," $64,135.00 "
ZCTA5,01525,
ZCTA5,01527," $74,713.00 "
ZCTA5,01529," $90,500.00 "
ZCTA5,01531," $84,432.00 "
ZCTA5,01532," $111,875.00 "
ZCTA5,01534," $89,348.00 "
ZCTA5,01535," $73,133.00 "
ZCTA5,01536," $105,283.00 "
ZCTA5,01537," $74,883.00 "
ZCTA5,01540," $68,865.00 "
ZCTA5,01541," $128,006.00 "
ZCTA5,01542," $100,000.00 "
ZCTA5,01543," $100,962.00 "
ZCTA5,01545," $101,229.00 "
ZCTA5,01550," $50,202.00 "
ZCTA5,01560," $85,390.00 "
ZCTA5,01561,
ZCTA5,01562," $65,386.00 "
ZCTA5,01564," $102,500.00 "
ZCTA5,01566," $95,800.00 "
ZCTA5,01568," $119,115.00 "
ZCTA5,01569," $94,809.00 "
ZCTA5,01570," $52,107.00 "
ZCTA5,01571," $64,281.00 "
ZCTA5,01581," $107,604.00 "
