LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3700141,Wilmington Preparatory Academy,Independent Charter District,NC,NORTH CAROLINA,Wilmington,NC,28403,KG,8,1,1,12,0,147,0,0,17,79,44,0,7
3700332,Island Montessori Charter,Independent Charter District,NC,NORTH CAROLINA,Wilmington,NC,28412,KG,7,1,1,17,0,190,2,5,15,4,158,0,6
3703330,New Hanover County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Wilmington,NC,28412,PK,13,3,42,1708,72,26214,87,401,3181,5406,16118,34,987
3700420,Brunswick County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Bolivia,NC,28422,PK,13,3,19,796,32,12525,110,85,1558,1874,8362,13,523
3703570,Pender County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Burgaw,NC,28425,PK,13,3,16,574,24,9191,47,49,1210,1406,6174,6,299
3700349,Flemington Academy,Independent Charter District,NC,NORTH CAROLINA,Lake Waccamaw,NC,28450,6,12,1,1,13,1,83,2,0,6,35,35,0,5
3700102,Charter Day School,Independent Charter District,NC,NORTH CAROLINA,Leland,NC,28451,KG,8,1,1,47,1,927,8,9,59,95,695,1,60
3700378,South Brunswick Charter School,Independent Charter District,NC,NORTH CAROLINA,Southport,NC,28461,KG,3,1,1,9,0,192,3,1,6,5,168,0,9
3700140,Columbus Charter School,Independent Charter District,NC,NORTH CAROLINA,Whiteville,NC,28472,KG,8,1,1,43,0,852,36,7,23,144,604,0,38
3700960,Columbus County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Whiteville,NC,28472,PK,13,3,18,407,13,6195,324,7,620,1940,3197,3,104
3704920,Whiteville City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Whiteville,NC,28472,PK,12,3,5,159,6,2295,24,12,243,972,926,0,118
3700031,Children's Village Academy,Independent Charter District,NC,NORTH CAROLINA,Kinston,NC,28501,KG,8,1,1,6,0,184,0,0,2,177,1,0,4
3702610,Lenoir County Public Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Kinston,NC,28504,PK,13,3,17,587,25,9079,17,58,1174,4302,3316,6,206
3700038,Arapahoe Charter School,Independent Charter District,NC,NORTH CAROLINA,Arapahoe,NC,28510,KG,11,1,1,33,1,490,1,0,51,38,365,2,33
3703510,Pamlico County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Bayboro,NC,28515,PK,12,3,4,103,2,1340,5,10,105,301,847,0,72
3700052,Tiller School,Independent Charter District,NC,NORTH CAROLINA,Beaufort,NC,28516,KG,5,1,1,16,0,206,0,5,6,1,172,0,22
3700630,Carteret County Public Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Beaufort,NC,28516,PK,12,3,17,630,26,8472,37,87,722,552,6581,16,477
3703450,Onslow County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Jacksonville,NC,28540,PK,12,3,35,1565,49,26159,141,339,3511,5020,15024,95,2029
3700348,Z.E.C.A. School of Arts and Technology,Independent Charter District,NC,NORTH CAROLINA,Jacksonville,NC,28546,KG,7,1,1,9,0,130,0,0,15,86,17,0,12
3700383,Camp Lejeune,Federal agency providing elementary and/or secondary level instruction,NC,NORTH CAROLINA,Camp Lejeune,NC,28547,PK,12,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3703310,Craven County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,New Bern,NC,28562,PK,13,3,25,932,37,14286,40,599,1386,4143,7356,39,723
3701830,Greene County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Snow Hill,NC,28580,PK,13,3,6,215,9,3174,8,4,979,1194,943,0,46
3702400,Jones County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Trenton,NC,28585,PK,12,3,6,91,5,1170,1,4,117,464,544,0,40
3700396,Winterville Charter Academy,Independent Charter District,NC,NORTH CAROLINA,Winterville,NC,28590,KG,5,1,1,23,0,487,4,14,34,232,202,1,0
3702190,Hickory City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Hickory,NC,28602,PK,12,3,9,281,15,4377,4,184,1033,906,1928,3,319
3700016,Grandfather Academy,Independent Charter District,NC,NORTH CAROLINA,Banner Elk,NC,28604,1,12,1,1,4,0,21,1,0,0,5,15,0,0
3700138,Two Rivers Community School,Independent Charter District,NC,NORTH CAROLINA,Boone,NC,28607,KG,8,1,1,16,1,174,0,1,0,0,169,0,4
3704830,Watauga County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Boone,NC,28607,PK,12,3,10,356,12,4402,8,57,375,51,3785,4,122
3700077,Williams Academy (fka Crossnore),Independent Charter District,NC,NORTH CAROLINA,Crossnore,NC,28616,KG,12,1,1,15,0,111,0,0,7,2,96,0,6
3701380,Elkin City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Elkin,NC,28621,PK,12,3,3,91,3,1221,0,8,241,47,880,0,45
3700210,Ashe County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Jefferson,NC,28640,PK,12,3,5,233,8,3175,2,17,315,18,2791,0,32
3700580,Caldwell County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Lenoir,NC,28645,PK,13,3,26,842,37,12187,12,84,1194,641,9737,2,517
3700118,The New Dimensions School,Independent Charter District,NC,NORTH CAROLINA,Morganton,NC,28655,KG,8,1,1,22,0,277,0,5,19,22,226,0,5
3700480,Burke County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Morganton,NC,28655,PK,12,3,27,809,35,12780,24,803,1739,624,8955,27,608
3700300,Avery County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Newland,NC,28657,PK,12,3,11,171,5,2183,6,13,243,9,1876,2,34
3700690,Catawba County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Newton,NC,28658,PK,13,3,28,1048,43,16641,17,1094,2517,897,11402,10,704
